,homeTeamWinner,Min/Match_home,Min/Match_away,Clr/Match_home,Clr/Match_away,Blocks/Match_home,Blocks/Match_away,Int/Match_home,Int/Match_away,Age_home,Age_away,TklW%_home,TklW%_away,Rating_home,Rating_away,PrgP_home,PrgP_away,DEF_home,DEF_away,PrgR_home,PrgR_away,KP/Match_home,KP/Match_away,npxG_home,npxG_away,SoT%_home,SoT%_away,PrgC_home,PrgC_away,Sh/90_home,Sh/90_away,Min/Match_diff,Clr/Match_diff,Blocks/Match_diff,Int/Match_diff,Age_diff,TklW%_diff,Rating_diff,PrgP_diff,DEF_diff,PrgR_diff,KP/Match_diff,npxG_diff,SoT%_diff,PrgC_diff,Sh/90_diff
0,1,1089.12,949.88,15.940000000000001,20.25,4.98,5.34,7.22,5.34,26.263157894736842,27.235294117647058,60.89714285714285,56.25833333333333,20.788537085571427,20.14639511779,695.0,619.0,13.28187482695238,12.301735881499999,480.0,659.0,8.95,6.48,16.1,28.3,39.474999999999994,38.78,311.0,367.0,10.36,14.36,139.2399999999999,-4.309999999999999,-0.35999999999999943,1.88,-0.9721362229102155,4.63880952380952,0.6421419677814271,76.0,0.9801389454523814,-179.0,2.469999999999999,-12.2,0.6949999999999932,-56.0,-4.0
1,0,1105.5,1143.1299999999999,28.72,18.38,8.54,5.35,6.5,5.51,26.529411764705884,25.736842105263158,65.62375,63.24222222222222,20.168846078679998,20.34475096,343.0,669.0,17.7151926915,14.726697773500002,437.0,1225.0,2.76,4.88,17.2,51.0,36.166666666666664,37.18,163.0,219.0,8.6,15.08,-37.62999999999988,10.34,3.1899999999999995,0.9900000000000002,0.7925696594427265,2.3815277777777837,-0.17590488132000104,-326.0,2.988494917999999,-788.0,-2.12,-33.8,-1.0133333333333354,-56.0,-6.48
2,1,1314.36,1112.21,14.17,22.75,5.42,8.95,4.64,7.23,25.238095238095237,26.61111111111111,57.39857142857143,56.33125,23.995575468190477,23.236550834724,966.0,502.0,11.400742085714285,16.309949475,1195.0,508.0,10.1,5.64,41.2,24.0,38.175,35.63333333333333,582.0,253.0,22.02,11.4,202.14999999999986,-8.58,-3.5299999999999994,-2.5900000000000007,-1.3730158730158735,1.0673214285714323,0.7590246334664776,464.0,-4.909207389285715,687.0,4.46,17.200000000000003,2.5416666666666643,329.0,10.62
3,0,923.27,1062.72,21.88,15.95,4.7299999999999995,5.5,4.62,4.859999999999999,26.866666666666667,25.88235294117647,53.35,63.281666666666666,16.54075054569,21.55346314909,167.0,577.0,11.655778913999999,12.0127077305,518.0,851.0,3.11,7.390000000000001,24.2,29.6,38.38,38.68,89.0,465.0,9.87,10.79,-139.45000000000005,5.93,-0.7700000000000005,-0.23999999999999932,0.9843137254901961,-9.931666666666665,-5.012712603400001,-410.0,-0.35692881650000174,-333.0,-4.280000000000001,-5.400000000000002,-0.29999999999999716,-376.0,-0.9199999999999999
4,1,1170.51,1117.33,20.57,24.36,5.7700000000000005,8.52,4.59,6.15,27.05,25.05263157894737,55.31125,55.565,20.40433657413,18.667378800842858,566.0,373.0,12.864987468499999,16.249859661904765,1085.0,288.0,4.51,5.12,42.8,11.4,30.225,27.619999999999997,267.0,220.0,19.39,11.16,53.180000000000064,-3.789999999999999,-2.749999999999999,-1.5600000000000005,1.9973684210526308,-0.2537499999999966,1.7369577732871413,193.0,-3.3848721934047656,797.0,-0.6100000000000003,31.4,2.605000000000004,47.0,8.23
5,0,1008.2,1062.28,19.12,21.04,5.26,5.02,3.83,6.55,25.764705882352942,24.705882352941178,56.855999999999995,57.77166666666667,18.789069905045,19.80145357115,633.0,601.0,9.9958712835,13.287989300000001,625.0,656.0,6.89,7.79,23.7,26.1,43.81666666666666,36.06,411.0,238.0,10.620000000000001,17.68,-54.07999999999993,-1.9199999999999982,0.2400000000000002,-2.7199999999999998,1.0588235294117645,-0.9156666666666737,-1.0123836661049985,32.0,-3.2921180165000017,-31.0,-0.9000000000000004,-2.400000000000002,7.756666666666661,173.0,-7.059999999999999
6,0,1054.55,1025.9,19.77,16.78,5.34,4.54,5.8,3.7800000000000002,28.352941176470587,26.733333333333334,65.25,56.01499999999999,19.837857090619046,18.86146034235,451.0,675.0,12.743786031428572,10.323521643000001,703.0,675.0,6.79,6.18,26.7,26.5,29.542857142857144,27.78,284.0,348.0,16.59,8.95,28.649999999999864,2.9899999999999984,0.7999999999999998,2.0199999999999996,1.6196078431372527,9.235000000000007,0.9763967482690461,-224.0,2.4202643884285706,28.0,0.6100000000000003,0.1999999999999993,1.7628571428571433,-64.0,7.640000000000001
7,1,1126.0900000000001,1394.58,19.32,32.65,5.859999999999999,8.95,3.81,7.98,25.72222222222222,26.952380952380953,63.843333333333334,62.99555555555556,16.8011174749,21.469076547847827,593.0,553.0,11.0493664745,17.66587351173913,963.0,371.0,3.59,7.24,40.1,24.1,41.54,23.080000000000002,125.0,201.0,8.9,15.690000000000001,-268.4899999999998,-13.329999999999998,-3.09,-4.17,-1.2301587301587311,0.8477777777777717,-4.667959072947827,40.0,-6.6165070372391295,592.0,-3.6500000000000004,16.0,18.459999999999997,-76.0,-6.790000000000001
8,0,1210.54,979.1700000000001,19.380000000000003,12.96,6.86,4.9399999999999995,6.6,2.9899999999999998,23.0,28.0,71.2625,60.57,22.0051449738,18.1658997115,662.0,653.0,15.604896508000001,10.663884810499999,889.0,720.0,5.510000000000001,7.7,44.0,34.1,41.628571428571426,35.3,232.0,383.0,15.75,12.11,231.3699999999999,6.420000000000002,1.9200000000000008,3.61,-5.0,10.692500000000003,3.8392452623000004,9.0,4.941011697500002,169.0,-2.1899999999999995,9.899999999999999,6.328571428571429,-151.0,3.6400000000000006
9,0,1013.79,1209.38,19.23,19.67,6.97,8.41,5.37,6.140000000000001,27.0,24.38888888888889,64.78,66.68857142857142,14.1037783286,20.43784136975,333.0,595.0,13.376668273000002,15.407287557500002,451.0,606.0,3.0,5.2299999999999995,17.1,29.4,39.6,38.52,114.0,308.0,7.59,10.85,-195.59000000000015,-0.4400000000000013,-1.4400000000000004,-0.7700000000000005,2.6111111111111107,-1.9085714285714204,-6.334063041149999,-262.0,-2.0306192845,-155.0,-2.2299999999999995,-12.299999999999997,1.0799999999999983,-194.0,-3.26
10,1,1025.9,1344.6,16.78,17.58,4.54,6.18,3.7800000000000002,4.99,26.733333333333334,25.095238095238095,56.01499999999999,54.76875,18.86146034235,25.174610665809524,675.0,966.0,10.323521643000001,12.579777283333334,675.0,1138.0,6.18,10.1,26.5,38.2,27.78,38.628571428571426,348.0,582.0,8.95,19.060000000000002,-318.6999999999998,-0.7999999999999972,-1.6399999999999997,-1.21,1.6380952380952394,1.2462499999999963,-6.313150323459524,-291.0,-2.2562556403333325,-463.0,-3.92,-11.700000000000003,-10.848571428571425,-234.0,-10.110000000000003
11,0,1183.75,994.22,24.45,16.51,5.96,4.65,7.37,3.27,24.61111111111111,26.333333333333332,57.21142857142858,54.88,21.820886378049998,16.80236626163,586.0,566.0,15.358999334500002,10.383433822499999,755.0,1085.0,6.89,4.51,37.8,42.8,37.233333333333334,30.225,235.0,267.0,20.47,19.39,189.52999999999997,7.939999999999998,1.3099999999999996,4.1,-1.7222222222222214,2.3314285714285745,5.0185201164199995,20.0,4.975565512000003,-330.0,2.38,-5.0,7.008333333333333,-32.0,1.0799999999999983
12,1,1220.94,1089.12,16.36,15.940000000000001,5.78,4.98,4.65,7.22,25.210526315789473,26.263157894736842,64.29666666666667,60.89714285714285,23.297837816309524,20.788537085571427,624.0,695.0,11.594040210952382,13.28187482695238,991.0,480.0,8.85,8.95,36.9,16.1,38.35,39.474999999999994,523.0,311.0,22.94,10.36,131.82000000000016,0.41999999999999815,0.7999999999999998,-2.5699999999999994,-1.05263157894737,3.3995238095238136,2.5093007307380972,-71.0,-1.6878346159999982,511.0,-0.09999999999999964,20.799999999999997,-1.124999999999993,212.0,12.580000000000002
13,1,1111.53,1117.84,20.67,19.77,7.67,5.34,6.8100000000000005,5.8,26.529411764705884,28.22222222222222,50.03625,65.25,17.22535747064286,20.083985836190475,420.0,536.0,14.350259995857144,12.743786031428572,284.0,703.0,4.71,7.22,21.200000000000003,26.7,29.866666666666664,29.542857142857144,132.0,308.0,9.7,16.59,-6.309999999999945,0.9000000000000021,2.33,1.0100000000000007,-1.6928104575163374,-15.213749999999997,-2.8586283655476166,-116.0,1.606473964428572,-419.0,-2.51,-5.4999999999999964,0.3238095238095191,-176.0,-6.890000000000001
